finding_id,attack_class,severity,status,file,line,symbol,description,evidence,next_attack
RT-009,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/beaver_score.rs,47,unchecked plus,Potential unchecked arithmetic expression detected.,WATERFALL_MAX_POINTS + RESERVE_MAX_POINTS + ACCOUNTING_MAX_POINTS;,"Test maximum values, zero values, rounding, and overflow behavior."
RT-010,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/beaver_score.rs,165,unchecked plus,Potential unchecked arithmetic expression detected.,integrity_points + activity_points,"Test maximum values, zero values, rounding, and overflow behavior."
RT-012,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/buyback.rs,7,unchecked minus,Potential unchecked arithmetic expression detected.,/// Amount credited to the pending buyback-and-burn bucket.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-013,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/buyback.rs,10,unchecked minus,Potential unchecked arithmetic expression detected.,/// Updated pending buyback-and-burn balance.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-014,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/buyback.rs,13,unchecked minus,Potential unchecked arithmetic expression detected.,/// Updated lifetime buyback-and-burn allocation.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-015,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/buyback.rs,17,unchecked minus,Potential unchecked arithmetic expression detected.,/// Credits a buyback-and-burn allocation to TreasuryState.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-016,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/company.rs,45,unchecked minus,Potential unchecked arithmetic expression detected.,// Automatic accounting-period reset,"Test maximum values, zero values, rounding, and overflow behavior."
RT-017,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/dam.rs,6,unchecked minus,Potential unchecked arithmetic expression detected.,/// of the on-chain interface. Do not reorder them without a state migration.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-018,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/dam.rs,41,unchecked minus,Potential unchecked arithmetic expression detected.,/// Maximum capital-release rate associated with this Dam level.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-019,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/dam.rs,70,unchecked minus,Potential unchecked arithmetic expression detected.,/// Dam v1 uses a deterministic one-to-one mapping:,"Test maximum values, zero values, rounding, and overflow behavior."
RT-020,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/dam.rs,81,unchecked minus,Potential unchecked arithmetic expression detected.,/// Evaluates the Dam using the Waterfall stage and the non-circular,"Test maximum values, zero values, rounding, and overflow behavior."
RT-021,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/dam.rs,82,unchecked minus,Potential unchecked arithmetic expression detected.,/// Pre-Dam Health Score.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-022,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/dam.rs,84,unchecked minus,Potential unchecked arithmetic expression detected.,/// The Waterfall establishes the least-permissive baseline required by,"Test maximum values, zero values, rounding, and overflow behavior."
RT-024,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/execution_guard.rs,23,unchecked minus,Potential unchecked arithmetic expression detected.,/// Result returned by the central execution-security gate.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-025,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/execution_guard.rs,38,unchecked minus,Potential unchecked arithmetic expression detected.,/// protocol-to-treasury linkage must be enforced by the Anchor instruction,"Test maximum values, zero values, rounding, and overflow behavior."
RT-026,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/execution_guard.rs,114,unchecked minus,Potential unchecked arithmetic expression detected.,/// on-chain security system.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-028,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/founder.rs,45,unchecked minus,Potential unchecked arithmetic expression detected.,// Automatic accounting-period reset,"Test maximum values, zero values, rounding, and overflow behavior."
RT-030,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/integrity_firewall.rs,71,unchecked minus,Potential unchecked arithmetic expression detected.,/// Read-only SPL token-account facts supplied to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-031,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/integrity_firewall.rs,71,unchecked minus,Potential unchecked arithmetic expression detected.,/// Read-only SPL token-account facts supplied to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-032,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/integrity_firewall.rs,103,unchecked minus,Potential unchecked arithmetic expression detected.,/// Read-only Integrity Firewall report.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-029,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/integrity_firewall.rs,368,unchecked plus,Potential unchecked arithmetic expression detected.,for right in (left + 1)..destination_keys.len() {,"Test maximum values, zero values, rounding, and overflow behavior."
RT-036,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/release.rs,18,unchecked minus,Potential unchecked arithmetic expression detected.,/// Applies the accounting transition for an already-authorized treasury release.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-040,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/sentinel.rs,32,unchecked minus,Potential unchecked arithmetic expression detected.,/// Read-only protocol integrity report.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-048,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/sentinel.rs,106,unchecked multiply,Potential unchecked arithmetic expression detected.,* This explicit match is intentionally exhaustive. Adding a new stage,"Test maximum values, zero values, rounding, and overflow behavior."
RT-049,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/sentinel.rs,138,unchecked multiply,Potential unchecked arithmetic expression detected.,"* A Dam may never permit more than 100% release, and the reported rate","Test maximum values, zero values, rounding, and overflow behavior."
RT-050,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/sentinel.rs,149,unchecked multiply,Potential unchecked arithmetic expression detected.,* The Dam evaluation must retain the exact Waterfall stage supplied to it.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-062,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/waterfall.rs,8,unchecked minus,Potential unchecked arithmetic expression detected.,"/// The stored u8 values are part of the on-chain protocol interface,","Test maximum values, zero values, rounding, and overflow behavior."
RT-064,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/engines/waterfall.rs,76,unchecked divide,Potential unchecked arithmetic expression detected.,/// pending_reserve / total_pending,"Test maximum values, zero values, rounding, and overflow behavior."
RT-065,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,20,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""The supplied settlement-token vault is invalid."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-066,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,23,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""The settlement-token deposit amount must be greater than zero."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-067,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,26,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""There are no unprocessed settlement-token fees in the treasury vault."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-068,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,41,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""The founder accounting-period cap must be greater than zero."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-069,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,44,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""The founder accounting-period duration must be greater than zero."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-070,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,53,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""The company accounting-period cap must be greater than zero."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-071,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,56,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""The company accounting-period duration must be greater than zero."")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-072,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/errors/mod.rs,88,unchecked minus,Potential unchecked arithmetic expression detected.,"#[msg(""Invalid settlement-token execution destination"")]","Test maximum values, zero values, rounding, and overflow behavior."
RT-073,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/events/mod.rs,47,unchecked minus,Potential unchecked arithmetic expression detected.,/// The settlement-token transfer and accounting update occur atomically.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-074,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/events/mod.rs,68,unchecked minus,Potential unchecked arithmetic expression detected.,/// Founder caps are enforced during fee processing. The settlement-token,"Test maximum values, zero values, rounding, and overflow behavior."
RT-075,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/events/mod.rs,69,unchecked minus,Potential unchecked arithmetic expression detected.,/// transfer and treasury execution-accounting update occur atomically.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-076,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/events/mod.rs,94,unchecked minus,Potential unchecked arithmetic expression detected.,/// Company caps are enforced during fee processing. The settlement-token,"Test maximum values, zero values, rounding, and overflow behavior."
RT-077,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/events/mod.rs,95,unchecked minus,Potential unchecked arithmetic expression detected.,/// transfer and treasury execution-accounting update occur atomically.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-078,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,120,unchecked minus,Potential unchecked arithmetic expression detected.,/// Settlement-token account used for the future buyback execution pipeline.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-079,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,133,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent reserve destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-080,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,143,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent liquidity destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-081,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,153,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent company destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-082,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,165,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent founder destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-083,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,182,unchecked minus,Potential unchecked arithmetic expression detected.,/// Releases previously allocated buyback-and-burn funds.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-084,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,187,unchecked minus,Potential unchecked arithmetic expression detected.,/// - decreases pending buyback-and-burn accounting;,"Test maximum values, zero values, rounding, and overflow behavior."
RT-085,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,188,unchecked minus,Potential unchecked arithmetic expression detected.,/// - increases released buyback-and-burn accounting.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-086,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/buyback.rs,311,unchecked minus,Potential unchecked arithmetic expression detected.,"msg!(""Buyback settlement-token execution completed"");","Test maximum values, zero values, rounding, and overflow behavior."
RT-087,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/company.rs,84,unchecked minus,Potential unchecked arithmetic expression detected.,/// Settlement-token account controlled by the configured company recipient.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-088,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/company.rs,106,unchecked minus,Potential unchecked arithmetic expression detected.,/// Company period-cap enforcement occurs during fee processing when funds are,"Test maximum values, zero values, rounding, and overflow behavior."
RT-089,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/company.rs,110,unchecked minus,Potential unchecked arithmetic expression detected.,/// The settlement-token transfer and treasury accounting update are atomic.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-090,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/company.rs,172,unchecked minus,Potential unchecked arithmetic expression detected.,"msg!(""Company settlement-token execution completed"");","Test maximum values, zero values, rounding, and overflow behavior."
RT-091,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/deposit_settlement.rs,88,unchecked minus,Potential unchecked arithmetic expression detected.,"msg!(""Settlement-token deposit completed"");","Test maximum values, zero values, rounding, and overflow behavior."
RT-092,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/founder.rs,84,unchecked minus,Potential unchecked arithmetic expression detected.,/// Settlement-token account controlled by the configured founder recipient.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-093,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/founder.rs,106,unchecked minus,Potential unchecked arithmetic expression detected.,/// Founder period-cap enforcement occurs while fees are processed and credited,"Test maximum values, zero values, rounding, and overflow behavior."
RT-094,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/founder.rs,110,unchecked minus,Potential unchecked arithmetic expression detected.,/// The settlement-token transfer and treasury accounting update are atomic.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-095,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/founder.rs,172,unchecked minus,Potential unchecked arithmetic expression detected.,"msg!(""Founder settlement-token execution completed"");","Test maximum values, zero values, rounding, and overflow behavior."
RT-096,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/initialize_treasury.rs,38,unchecked minus,Potential unchecked arithmetic expression detected.,/// Treasury-owned SPL token vault for the settlement mint.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-097,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,120,unchecked minus,Potential unchecked arithmetic expression detected.,/// Settlement-token account used for liquidity deployment.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-098,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,133,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent reserve destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-099,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,143,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent buyback destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-100,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,153,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent company destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-101,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,165,unchecked minus,Potential unchecked arithmetic expression detected.,/// Permanent founder destination supplied read-only to the firewall.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-102,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,304,unchecked minus,Potential unchecked arithmetic expression detected.,"msg!(""Liquidity settlement-token execution completed"");","Test maximum values, zero values, rounding, and overflow behavior."
RT-103,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/liquidity.rs,352,unchecked minus,Potential unchecked arithmetic expression detected.,"msg!(""No external swap or liquidity-pool CPI was performed"");","Test maximum values, zero values, rounding, and overflow behavior."
RT-104,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,91,unchecked minus,Potential unchecked arithmetic expression detected.,"// canonical protocol linkage, and lifetime-allocation conservation.","Test maximum values, zero values, rounding, and overflow behavior."
RT-105,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,176,unchecked minus,Potential unchecked arithmetic expression detected.,// Re-run both Sentinel layers after every state mutation. A failed,"Test maximum values, zero values, rounding, and overflow behavior."
RT-106,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,201,unchecked minus,Potential unchecked arithmetic expression detected.,"""Pre-allocation Waterfall stage: {} ({})"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-118,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,207,unchecked divide,Potential unchecked arithmetic expression detected.,"""Adaptive allocation BPS R/B/L/C/F: {}/{}/{}/{}/{}"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-119,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,207,unchecked divide,Potential unchecked arithmetic expression detected.,"""Adaptive allocation BPS R/B/L/C/F: {}/{}/{}/{}/{}"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-107,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,238,unchecked minus,Potential unchecked arithmetic expression detected.,"""Buyback-and-burn allocation deposited: {}"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-108,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,243,unchecked minus,Potential unchecked arithmetic expression detected.,"""Pending buyback-and-burn balance: {}"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-109,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,248,unchecked minus,Potential unchecked arithmetic expression detected.,"""Lifetime buyback-and-burn allocation: {}"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-110,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,306,unchecked minus,Potential unchecked arithmetic expression detected.,"""Pre-Dam Health Score: {} / {}"",","Test maximum values, zero values, rounding, and overflow behavior."
RT-111,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,362,unchecked minus,Potential unchecked arithmetic expression detected.,/// Deterministic result of one successful Beavernomics fee-processing cycle.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-112,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,364,unchecked minus,Potential unchecked arithmetic expression detected.,"/// Account validation, vault-balance discovery, protocol pause enforcement,","Test maximum values, zero values, rounding, and overflow behavior."
RT-113,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/process_fees.rs,387,unchecked minus,Potential unchecked arithmetic expression detected.,/// Applies one complete production fee-allocation state transition.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-120,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/reserve.rs,120,unchecked minus,Potential unchecked arithmetic expression detected.,/// Reserve-controlled settlement-token account receiving the release.,"Test maximum values, zero values, rounding, and overflow behavior."
RT-121,Arithmetic review,MEDIUM,OPEN — MANUAL REVIEW,programs/treasury-router/src/instructions/reserve.rs,120,unchecked minus,Potential unchecked arithmetic expression detected.,/// Reserve-controlled settlement-token account receiving the release.,"Test maximum values, zero values, rounding, and overflow behavior."
